free_annotation
cell__1	Acinar cells
cell__356	Ductal - terminal ductal like
cell__357	Ductal - terminal ductal like
cell__358	T cells & NK cells
cell__359	Ductal - terminal ductal like
cell__360	Monocytes
cell__361	Ductal - CRISP3 high/centroacinar like
cell__362	Ductal - APOL1 high/hypoxic
cell__363	Ductal - CRISP3 high/centroacinar like
cell__364	Cancer clone A
cell__365	pDCs
cell__366	Cancer clone B
cell__367	Monocytes
cell__368	Ductal - MHC Class II
cell__369	Ductal - terminal ductal like
cell__370	Ductal - terminal ductal like
cell__371	Ductal - CRISP3 high/centroacinar like
cell__372	RBCs
cell__373	RBCs
cell__374	Ductal - CRISP3 high/centroacinar like
cell__375	Cancer clone A
cell__376	Cancer clone A
cell__377	Ductal - terminal ductal like
cell__378	Ductal - CRISP3 high/centroacinar like
cell__379	Cancer clone B
cell__380	Cancer clone A
cell__381	Ductal - terminal ductal like
cell__382	Cancer clone B
cell__383	Ductal - MHC Class II
cell__384	Cancer clone A
cell__385	Ductal - CRISP3 high/centroacinar like
cell__386	Ductal - CRISP3 high/centroacinar like
cell__387	Ductal - CRISP3 high/centroacinar like
cell__388	Ductal - terminal ductal like
cell__389	Ductal - APOL1 high/hypoxic
cell__390	Ductal - APOL1 high/hypoxic
cell__391	Cancer clone A
cell__392	Cancer clone A
cell__393	Ductal - CRISP3 high/centroacinar like
cell__394	Ductal - terminal ductal like
cell__395	Ductal - MHC Class II
cell__396	Cancer clone B
cell__397	Ductal - terminal ductal like
cell__398	Cancer clone A
cell__399	Ductal - CRISP3 high/centroacinar like
cell__400	Macrophages A
cell__401	Ductal - CRISP3 high/centroacinar like
cell__402	Ductal - APOL1 high/hypoxic
cell__403	Ductal - MHC Class II
cell__404	Ductal - terminal ductal like
cell__405	Ductal - CRISP3 high/centroacinar like
cell__406	Ductal - terminal ductal like
cell__407	Ductal - APOL1 high/hypoxic
cell__408	Ductal - APOL1 high/hypoxic
cell__409	Ductal - CRISP3 high/centroacinar like
cell__410	Ductal - CRISP3 high/centroacinar like
cell__411	Ductal - CRISP3 high/centroacinar like
cell__412	Ductal - CRISP3 high/centroacinar like
cell__413	Cancer clone B
cell__414	Cancer clone B
cell__415	Ductal - CRISP3 high/centroacinar like
cell__416	Cancer clone B
cell__417	Ductal - MHC Class II
cell__418	Ductal - CRISP3 high/centroacinar like
cell__419	Ductal - APOL1 high/hypoxic
cell__420	Cancer clone B
cell__421	Ductal - APOL1 high/hypoxic
cell__422	Ductal - MHC Class II
cell__423	Ductal - MHC Class II
cell__424	Cancer clone B
cell__425	Ductal - CRISP3 high/centroacinar like
cell__426	Ductal - CRISP3 high/centroacinar like
cell__427	Ductal - CRISP3 high/centroacinar like
cell__428	Ductal - CRISP3 high/centroacinar like
cell__429	Ductal - CRISP3 high/centroacinar like
cell__430	Ductal - CRISP3 high/centroacinar like
cell__431	Ductal - CRISP3 high/centroacinar like
cell__432	Ductal - MHC Class II
cell__433	Ductal - terminal ductal like
cell__434	Ductal - CRISP3 high/centroacinar like
cell__435	Ductal - CRISP3 high/centroacinar like
cell__436	Cancer clone A
cell__437	Ductal - APOL1 high/hypoxic
cell__438	Cancer clone B
cell__439	Ductal - MHC Class II
cell__440	Ductal - CRISP3 high/centroacinar like
cell__441	Ductal - CRISP3 high/centroacinar like
cell__442	Cancer clone A
cell__443	Ductal - CRISP3 high/centroacinar like
cell__444	Cancer clone B
cell__445	Ductal - MHC Class II
cell__446	Mast cells
cell__447	Ductal - MHC Class II
cell__448	Ductal - MHC Class II
cell__449	Ductal - terminal ductal like
cell__450	Ductal - terminal ductal like
cell__451	Ductal - MHC Class II
cell__452	Ductal - CRISP3 high/centroacinar like
cell__453	Ductal - MHC Class II
cell__454	Ductal - CRISP3 high/centroacinar like
cell__455	Cancer clone A
cell__456	Ductal - CRISP3 high/centroacinar like
cell__457	Ductal - MHC Class II
cell__458	Ductal - terminal ductal like
cell__459	Ductal - CRISP3 high/centroacinar like
cell__460	Ductal - APOL1 high/hypoxic
cell__461	Ductal - MHC Class II
cell__462	Ductal - CRISP3 high/centroacinar like
cell__463	Ductal - CRISP3 high/centroacinar like
cell__464	Ductal - CRISP3 high/centroacinar like
cell__465	Cancer clone A
cell__466	Ductal - MHC Class II
cell__467	Ductal - MHC Class II
cell__468	Ductal - CRISP3 high/centroacinar like
cell__469	Ductal - CRISP3 high/centroacinar like
cell__470	Ductal - CRISP3 high/centroacinar like
cell__471	Ductal - CRISP3 high/centroacinar like
cell__472	Ductal - terminal ductal like
cell__473	Ductal - APOL1 high/hypoxic
cell__474	Ductal - terminal ductal like
cell__475	Ductal - MHC Class II
cell__476	Tuft cells
cell__477	Macrophages B
cell__478	Ductal - CRISP3 high/centroacinar like
cell__479	Ductal - terminal ductal like
cell__480	Ductal - CRISP3 high/centroacinar like
cell__481	Cancer clone A
cell__482	Ductal - CRISP3 high/centroacinar like
cell__483	Ductal - CRISP3 high/centroacinar like
cell__484	Cancer clone A
cell__485	Ductal - terminal ductal like
cell__486	Cancer clone A
cell__487	Ductal - MHC Class II
cell__488	Cancer clone A
cell__489	Ductal - CRISP3 high/centroacinar like
cell__490	Cancer clone A
cell__491	Ductal - CRISP3 high/centroacinar like
cell__492	Ductal - CRISP3 high/centroacinar like
cell__493	Ductal - APOL1 high/hypoxic
cell__494	Ductal - CRISP3 high/centroacinar like
cell__495	Ductal - MHC Class II
cell__496	Ductal - terminal ductal like
cell__497	Ductal - CRISP3 high/centroacinar like
cell__498	Ductal - MHC Class II
cell__499	Ductal - APOL1 high/hypoxic
cell__500	Cancer clone B
cell__501	Cancer clone B
cell__502	Ductal - terminal ductal like
cell__503	Ductal - terminal ductal like
cell__504	Mast cells
cell__505	Cancer clone A
cell__506	Ductal - CRISP3 high/centroacinar like
cell__507	Ductal - CRISP3 high/centroacinar like
cell__508	Ductal - terminal ductal like
cell__509	Ductal - terminal ductal like
cell__510	Cancer clone B
cell__511	Ductal - CRISP3 high/centroacinar like
cell__512	Ductal - terminal ductal like
cell__513	Ductal - CRISP3 high/centroacinar like
cell__514	Cancer clone B
cell__515	Ductal - APOL1 high/hypoxic
cell__516	Ductal - CRISP3 high/centroacinar like
cell__517	Ductal - MHC Class II
cell__518	Cancer clone B
cell__519	Ductal - terminal ductal like
cell__520	Ductal - APOL1 high/hypoxic
cell__521	Ductal - CRISP3 high/centroacinar like
cell__522	Ductal - APOL1 high/hypoxic
